timestamp,hostname,cpu_percent,mem_percent,mem_used_mb,mem_available_mb,mem_total_mb,temperature_c
2026-06-04 15:05:22,lpl,0.00,41.16,825.92,1180.83,2006.75,49.9
2026-06-04 15:18:04,lpl,1.24,47.86,960.47,1046.28,2006.75,49.4
2026-06-04 15:18:10,lpl,4.26,49.63,995.91,1010.84,2006.75,51.0
2026-06-04 15:18:16,lpl,13.52,49.33,989.95,1016.80,2006.75,52.1
2026-06-04 15:18:22,lpl,46.13,49.47,992.66,1014.09,2006.75,55.4
2026-06-04 15:18:28,lpl,51.99,49.60,995.38,1011.38,2006.75,54.9
2026-06-04 15:18:34,lpl,55.58,49.66,996.53,1010.22,2006.75,55.4
2026-06-04 15:18:40,lpl,44.89,49.77,998.70,1008.05,2006.75,57.1
2026-06-04 15:18:46,lpl,7.79,52.72,1058.00,948.75,2006.75,54.3
2026-06-04 15:18:52,lpl,29.22,51.73,1038.02,968.73,2006.75,55.4
2026-06-04 15:18:58,lpl,4.48,50.77,1018.78,987.97,2006.75,55.4
2026-06-04 15:19:04,lpl,7.43,49.99,1003.23,1003.52,2006.75,56.0
2026-06-04 15:19:10,lpl,5.94,51.21,1027.73,979.02,2006.75,54.3
2026-06-04 15:19:16,lpl,47.25,50.63,1015.95,990.80,2006.75,58.2
2026-06-04 15:19:22,lpl,42.43,50.35,1010.39,996.36,2006.75,58.7
2026-06-04 15:19:28,lpl,0.50,49.95,1002.33,1004.42,2006.75,56.5
2026-06-04 15:19:34,lpl,0.00,47.70,957.17,1049.58,2006.75,53.2
2026-06-04 15:19:40,lpl,24.31,47.95,962.33,1044.42,2006.75,57.1
2026-06-04 15:19:46,lpl,21.66,48.54,974.03,1032.72,2006.75,56.5
2026-06-04 15:19:52,lpl,34.86,49.10,985.25,1021.50,2006.75,57.6
2026-06-04 15:19:58,lpl,46.62,48.75,978.25,1028.50,2006.75,59.3
2026-06-04 15:20:04,lpl,21.00,48.63,975.88,1030.88,2006.75,57.1
2026-06-04 15:20:10,lpl,5.61,48.85,980.31,1026.44,2006.75,56.5
2026-06-04 15:20:16,lpl,0.50,50.23,1008.02,998.73,2006.75,56.5
2026-06-04 15:20:22,lpl,0.00,50.28,1008.97,997.78,2006.75,54.9
2026-06-04 15:20:28,lpl,9.32,49.74,998.23,1008.52,2006.75,56.0
2026-06-04 15:20:34,lpl,0.00,48.40,971.31,1035.44,2006.75,55.4
2026-06-04 15:20:40,lpl,0.00,47.19,947.02,1059.73,2006.75,53.8
2026-06-04 15:20:46,lpl,0.25,46.96,942.47,1064.28,2006.75,53.2
2026-06-04 15:20:52,lpl,0.00,46.94,941.98,1064.77,2006.75,52.7
2026-06-04 15:20:59,lpl,0.00,47.09,944.97,1061.78,2006.75,52.1
2026-06-04 15:21:05,lpl,0.00,46.97,942.64,1064.11,2006.75,52.1
2026-06-04 15:21:11,lpl,0.00,46.95,942.11,1064.64,2006.75,53.2
2026-06-04 15:21:17,lpl,0.00,46.91,941.33,1065.42,2006.75,52.1
2026-06-04 15:21:23,lpl,0.00,46.92,941.66,1065.09,2006.75,51.6
2026-06-04 15:21:29,lpl,0.00,46.88,940.69,1066.06,2006.75,51.6
2026-06-04 15:21:35,lpl,0.25,46.93,941.77,1064.98,2006.75,51.6
2026-06-04 15:21:41,lpl,0.25,46.91,941.33,1065.42,2006.75,51.6
2026-06-04 15:21:47,lpl,0.00,46.90,941.20,1065.55,2006.75,51.6
2026-06-04 15:21:53,lpl,4.00,50.03,1003.89,1002.86,2006.75,52.7
2026-06-04 15:21:59,lpl,0.25,48.28,968.94,1037.81,2006.75,52.1
2026-06-04 15:22:05,lpl,0.00,47.56,954.31,1052.44,2006.75,52.1
2026-06-04 15:22:11,lpl,0.00,47.24,948.02,1058.73,2006.75,51.6
2026-06-04 15:22:17,lpl,0.00,47.20,947.11,1059.64,2006.75,51.6
2026-06-04 15:22:23,lpl,9.80,49.05,984.28,1022.47,2006.75,51.6
2026-06-04 15:22:29,lpl,0.00,48.00,963.28,1043.47,2006.75,52.1
2026-06-04 15:22:35,lpl,0.00,47.28,948.86,1057.89,2006.75,51.6
2026-06-04 15:22:41,lpl,0.00,48.15,966.17,1040.58,2006.75,52.1
2026-06-04 15:22:47,lpl,0.00,47.45,952.23,1054.52,2006.75,51.6
2026-06-04 15:22:53,lpl,0.00,46.99,943.05,1063.70,2006.75,51.0
2026-06-04 15:22:59,lpl,0.00,46.93,941.81,1064.94,2006.75,51.6
